Source,Target,Type,Label,Weight
"Stefan Grossmann","Wien","Directed","Stefan Grossmann–Wien","18"
"Stefan Grossmann","Berlin","Directed","Stefan Grossmann–Berlin","14"
"Stefan Grossmann","Beuthstrasse","Directed","Stefan Grossmann–Beuthstrasse","8"
"Stefan Grossmann","Sternwartestraße 71","Directed","Stefan Grossmann–Sternwartestraße 71","8"
"Stefan Grossmann","XVIII., Währing","Directed","Stefan Grossmann–XVIII., Währing","6"
"Stefan Grossmann","Mariahilferstraße","Directed","Stefan Grossmann–Mariahilferstraße","6"
"Stefan Grossmann","Deutschland","Directed","Stefan Grossmann–Deutschland","4"
"Stefan Grossmann","VI., Mariahilf","Directed","Stefan Grossmann–VI., Mariahilf","3"
"Stefan Grossmann","Königseggasse","Directed","Stefan Grossmann–Königseggasse","3"
"Stefan Grossmann","Graben","Directed","Stefan Grossmann–Graben","3"
"Stefan Grossmann","Potsdamerstraße","Directed","Stefan Grossmann–Potsdamerstraße","2"
"Stefan Grossmann","Linke Wienzeile","Directed","Stefan Grossmann–Linke Wienzeile","2"
"Stefan Grossmann","Österreich","Directed","Stefan Grossmann–Österreich","2"
"Stefan Grossmann","Dominikanerbastei","Directed","Stefan Grossmann–Dominikanerbastei","2"
"Stefan Grossmann","I., Innere Stadt","Directed","Stefan Grossmann–I., Innere Stadt","1"
"Stefan Grossmann","Hotel Vier Jahreszeiten","Directed","Stefan Grossmann–Hotel Vier Jahreszeiten","1"
"Stefan Grossmann","Verbandsheim","Directed","Stefan Grossmann–Verbandsheim","1"
"Stefan Grossmann","München","Directed","Stefan Grossmann–München","1"
"Stefan Grossmann","Spiegelgasse","Directed","Stefan Grossmann–Spiegelgasse","1"
"Stefan Grossmann","Lange Gasse","Directed","Stefan Grossmann–Lange Gasse","1"
"Stefan Grossmann","Gumpendorfer Straße","Directed","Stefan Grossmann–Gumpendorfer Straße","1"
"Stefan Grossmann","Schönbrunnerstraße","Directed","Stefan Grossmann–Schönbrunnerstraße","1"
